<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20190731;041100;5.5588000;5.5623000;5.5583000;5.5602000;117
20190731;041200;5.5587000;5.5624000;5.5555000;5.5606000;250
20190731;041300;5.5608000;5.5615000;5.5577000;5.5603000;343
20190731;041400;5.5586000;5.5615000;5.5584000;5.5605000;111
20190731;041500;5.5594000;5.5618000;5.5582000;5.5605000;94
20190731;041600;5.5590000;5.5616000;5.5585000;5.5604000;100
20190731;041700;5.5599000;5.5611000;5.5584000;5.5609000;101
20190731;041800;5.5605000;5.5615000;5.5584000;5.5610000;77
20190731;041900;5.5605000;5.5614000;5.5581000;5.5607000;276
20190731;042000;5.5605000;5.5614000;5.5581000;5.5589000;90
20190731;042100;5.5610000;5.5613000;5.5581000;5.5596300;59
20190731;042200;5.5602000;5.5613000;5.5582000;5.5607000;82
20190731;042300;5.5603000;5.5608000;5.5585000;5.5603000;62
20190731;042400;5.5607000;5.5608000;5.5583000;5.5607000;48
20190731;042500;5.5605000;5.5614000;5.5585000;5.5607000;41
20190731;042600;5.5596300;5.5614000;5.5584000;5.5603000;46
20190731;042700;5.5602000;5.5612000;5.5582000;5.5603000;108
20190731;042800;5.5603000;5.5613000;5.5581000;5.5602000;43
20190731;042900;5.5597000;5.5613000;5.5583000;5.5606000;116
20190731;043000;5.5602000;5.5613000;5.5583000;5.5612000;80
20190731;043100;5.5603000;5.5615000;5.5579000;5.5601000;705
20190731;043200;5.5601000;5.5609000;5.5573000;5.5594000;289
20190731;043300;5.5598000;5.5609000;5.5570000;5.5596000;74
20190731;043400;5.5598000;5.5610000;5.5573000;5.5587400;60
20190731;043500;5.5594000;5.5609000;5.5571000;5.5598000;110
20190731;043600;5.5602000;5.5609000;5.5570000;5.5602000;91
20190731;043700;5.5604000;5.5609000;5.5575000;5.5598000;62
20190731;043800;5.5600000;5.5608700;5.5550000;5.5603000;161
20190731;043900;5.5599000;5.5609000;5.5571000;5.5602000;312
20190731;044000;5.5599000;5.5608000;5.5577000;5.5599000;62
20190731;044100;5.5599000;5.5609000;5.5574000;5.5598000;37
20190731;044200;5.5598000;5.5608000;5.5570000;5.5596000;101
20190731;044300;5.5598000;5.5608000;5.5568000;5.5571000;83
20190731;044400;5.5573000;5.5608000;5.5566000;5.5598000;91
20190731;044500;5.5598000;5.5605000;5.5568000;5.5581000;59
20190731;044600;5.5593900;5.5609000;5.5568000;5.5598000;123
20190731;044700;5.5598000;5.5604000;5.5569000;5.5603000;57
20190731;044800;5.5598000;5.5603000;5.5569000;5.5598000;30
20190731;044900;5.5598000;5.5603000;5.5574000;5.5603000;33
20190731;045000;5.5598000;5.5608000;5.5567000;5.5598000;546
20190731;045100;5.5598000;5.5608000;5.5569000;5.5603000;223
20190731;045200;5.5599000;5.5609000;5.5569000;5.5602000;126
20190731;045300;5.5598000;5.5604000;5.5572000;5.5603000;54
20190731;045400;5.5598000;5.5604000;5.5588300;5.5598000;35
20190731;045500;5.5572000;5.5598000;5.5570000;5.5598000;36
20190731;045600;5.5598000;5.5598000;5.5573000;5.5588300;31
20190731;045700;5.5598000;5.5598000;5.5573000;5.5598000;30
20190731;045800;5.5580000;5.5606000;5.5570000;5.5598000;40
20190731;045900;5.5598000;5.5608000;5.5572000;5.5598000;32
20190731;050000;5.5595000;5.5609000;5.5571000;5.5600000;482
20190731;050100;5.5600000;5.5609000;5.5569000;5.5600000;345
20190731;050200;5.5595000;5.5609000;5.5572000;5.5603000;218
20190731;050300;5.5599000;5.5609000;5.5569000;5.5603000;330
